 facilityid |                 url                  |         name          | male | female | unisex | allgender | toiletnote | drinkingwater | shower 
------------+--------------------------------------+-----------------------+------+--------+--------+-----------+------------+---------------+--------
          1 | https://toiletmap.gov.au/facility/1  | Sandy Beach Reserve   | t    | t      | f      | f         |            | f             | t
          2 | https://toiletmap.gov.au/facility/2  | Point Reserve         | t    | t      | f      | f         |            | f             | f
          3 | https://toiletmap.gov.au/facility/3  | Success Hill Reserve  | t    | t      | f      | f         |            | t             | t
          4 | https://toiletmap.gov.au/facility/4  | Jubilee Reserve       | t    | t      | f      | f         |            | f             | f
          5 | https://toiletmap.gov.au/facility/5  | Ashfield Reserve      | t    | t      | f      | f         |            | f             | f
          6 | https://toiletmap.gov.au/facility/6  | BIC Reserve           | t    | t      | f      | f         |            | f             | f
          7 | https://toiletmap.gov.au/facility/7  | Mary Crescent Reserve | t    | t      | f      | f         |            | f             | f
          9 | https://toiletmap.gov.au/facility/9  | Bassendean Oval 3     | t    | t      | f      | f         |            | f             | f
         15 | https://toiletmap.gov.au/facility/15 | Apex Park             | t    | t      | f      | f         |            | f             | f
         16 | https://toiletmap.gov.au/facility/16 | Lions Park            | t    | t      | f      | f         |            | f             | f
         17 | https://toiletmap.gov.au/facility/17 | Parella Street        | t    | t      | f      | f         |            | f             | t
         18 | https://toiletmap.gov.au/facility/18 | Nolan Park            | f    | f      | t      | f         |            | f             | f
         20 | https://toiletmap.gov.au/facility/20 | Binda Park            | f    | f      | f      | f         |            | f             | f
         21 | https://toiletmap.gov.au/facility/21 | Spring Park           | t    | t      | f      | f         |            | f             | f
         22 | https://toiletmap.gov.au/facility/22 | Lions Park            | t    | t      | f      | f         |            | f             | f
         23 | https://toiletmap.gov.au/facility/23 | Drummond Street       | t    | t      | f      | f         |            | f             | f
         24 | https://toiletmap.gov.au/facility/24 | Centenary Park        | t    | t      | f      | f         |            | f             | f
         25 | https://toiletmap.gov.au/facility/25 | Capella Street        | t    | t      | f      | f         |            | f             | f
         26 | https://toiletmap.gov.au/facility/26 | East Palmerston       | t    | t      | f      | f         |            | f             | f
         28 | https://toiletmap.gov.au/facility/28 | Fred Drew Park        | t    | t      | f      | f         |            | f             | f
(20 rows)

 # Toilets in Cooma with Parking 
---------------------------------
                               4
(1 row)

 # Toilets Down Under 
----------------------
                22031
(1 row)

 # Sporting Facilities That Double As Dumps 
--------------------------------------------
                                       1872
(1 row)

               town                | Toilet Count 
 Bibra Lake                        |            6
 Bicheno                           |            6
 Bicton                            |            5
 Biddeston                         |            1
 Big Desert                        |            4
 Bigga                             |            2
 Biggara                           |            3
 Biggenden                         |            5
 Big Pats Creek                    |            1
 Bilgola Beach                     |            1
 Bilinga                           |            1
 Billabong                         |            2
 Biloela                           |           18
 Bilpin                            |            2
 Bilyana                           |            1
 Bimberi                           |            1
 Bimbimbie                         |            1
 Binalong                          |            2
 Binalong Bay                      |            8
 Binda                             |            1
 Bindoon                           |            3
 Bingara                           |           10
 Bingil Bay                        |            2
 Biniguy                           |            1
 Binjura                           |            1
 Binna Burra                       |            2
 Binnaway                          |            2
 Binningup                         |            2
 Binnu                             |            1
 Binya                             |            1
 Birchgrove                        |            4
 Birchip                           |            3
 Birchmont                         |            1
 Birdsville                        |           10
 Birdwood                          |            1
 Birkdale                          |            7
 Birkenhead                        |            1
 Birregurra                        |            2
 Birrong                           |            2
 Bittern                           |            2
 Blackall                          |           10
 Blackalls Park                    |            2
 Blackbull                         |            1
 Blackburn                         |            6
 Blackburn North                   |            3
 Blackburn South                   |            2
 Blackbutt                         |            4
 Blackbutt North                   |            1
 Blackdown                         |            2
 Black Duck Creek                  |            1
 Blackett                          |            1
 Blackfellows Caves                |            1
 Black Forest                      |            1
 Black Head                        |            3
 Blackheath                        |           13
 Black Hill                        |            1
 Blackmans Bay                     |            1
 Black Mountain                    |            2
 Black Point                       |            1
 Black Range                       |            1
 Black River                       |            5
 Black Rock                        |            3
 Blacks Beach                      |            1
 Blacksmiths                       |            1
 Blacksoil                         |            2
 Black Springs                     |            2
 Blackstone                        |            1
 Blackstone Heights                |            1
 Blacktown                         |           28
 Blackville                        |            1
 Blackwall                         |            1
 Blackwater                        |            8
 Blackwood                         |            7
 Blair Athol                       |            3
 Blairgowrie                       |            3
 Blakehurst                        |            6
 Blakeview                         |            2
 Blanchetown                       |            5
 Blandford                         |            1
 Blaxland                          |            5
 Blayney                           |           11
 Blenheim                          |            1
 Bletchington                      |            4
 Bli Bli                           |            3
 Blind Bight                       |            1
 Blinman                           |            3
 Bloomfield                        |            5
 Bloomsbury                        |            2
 Blowering                         |            1
 Blue Bay                          |            1
 Blue Haven                        |            1
 Blue Mountain                     |            1
 Blue Mountain Heights             |            1
 Blue Mountains National Park      |            1
 Bluewater                         |            1
 Blueys Beach                      |            1
 Bluff                             |            2
 Bluff Beach                       |            1
 Bluff Point                       |            2
 Blyth                             |            2
 Boambee                           |            1
 Boat Harbour                      |            3
 Boat Harbour Beach                |            1
 Bochara                           |            2
 Bodalla                           |            2
 Bodallin                          |            1
 Boddington                        |            4
 Bogangar                          |            1
 Boggabilla                        |            4
 Boggabri                          |            4
 Bogong                            |            1
 Bohena Creek                      |            1
 Bohle                             |            3
 Bokarina                          |            2
 Bolgart                           |            1
 Bolivar                           |            1
 Bolivia                           |            1
 Bollon                            |            4
 Bolton Point                      |            2
 Bolwarra Heights                  |            1
 Bomaderry                         |            6
 Bombala                           |            4
 Bombo                             |            2
 Bonalbo                           |            2
 Bonang                            |            3
 Bona Vista                        |            1
 Bonbeach                          |            2
 Bondi Beach                       |            5
 Bondi Junction                    |            9
 Bonegilla                         |            3
 Boneo                             |            1
 Bongaree                          |            9
 Bong Bong                         |            1
 Bonnells Bay                      |            2
 Bonner                            |            1
 Bonnet Bay                        |            3
 Bonnet Hill                       |            1
 Bonnie Doon                       |            5
 Bonnie Rock                       |            1
 Bonny Hills                       |            4
 Bonnyrigg                         |            3
 Bonnyrigg Heights                 |            2
 Bonshaw                           |            1
 Bonython                          |            1
 Booborowie                        |            1
 Bookham                           |            4
 Boolambayte                       |            1
 Boolaroo                          |            1
 Boolarra                          |            1
 Boole Poole                       |            1
 Booleroo Centre                   |            2
 Booligal                          |            1
 Bool Lagoon                       |            2
 Boomerang Beach                   |            2
 Boomer Bay                        |            1
 Boomi                             |            2
 Boonah                            |            7
 Boondall                          |            3
 Boondooma                         |            1
 Boonooroo                         |            1
 Boorabbin                         |            1
 Booragoon                         |            3
 Booragul                          |            2
 Boorook                           |            1
 Booroorban                        |            2
 Boorowa                           |            5
 Boort                             |            4
 Boosey                            |            1
 Bootenal                          |            1
 Booth                             |            2
 Booti Booti                       |            1
 Booval                            |            2
 Boranup                           |            5
 Borden                            |            1
 Border Ranges                     |            2
 Bordertown                        |            6
 Bordertown South                  |            1
 Border Village                    |            2
 Boree Creek                       |            1
 Boreen Point                      |            2
 Borenore                          |            1
 Bornholm                          |            1
 Boronia                           |            7
 Boronia Heights                   |            1
 Bororen                           |            1
 Borroloola                        |            3
 Bossley Park                      |            1
 Bostobrick                        |            1
 Botany                            |            5
 Bothwell                          |            2
 Bouddi                            |            1
 Boulder                           |            8
 Boulia                            |            3
 Boundary Bend                     |            2
 Bourke                            |           11
 Bourkelands                       |            1
 Bouvard                           |            1
 Bovell                            |            1
 Bow Bridge                        |            1
 Bowen                             |           20
 Bowenfels                         |            1
 Bowen Hills                       |            2
 Bowen Mountain                    |            1
 Bowenville                        |            2
 Bower                             |            1
 Bowhill                           |            2
 Bowling Alley Point               |            1
 Bowning                           |            2
 Bowral                            |           13
 Bowraville                        |            4
 Boxers Creek                      |            1
 Box Hill                          |            8
 Box Hill North                    |            1
 Box Hill South                    |            3
 Boyanup                           |            2
 Boynedale                         |            4
 Boyne Island                      |            6
 Boyne Valley                      |            2
 Boyup Brook                       |            5
 Bracken Ridge                     |            3
 Bracknell                         |            2
 Bradbury                          |            2
 Braddon                           |            3
 Bradys Lake                       |            1
 Braemar                           |            1
 Braeside                          |            8
 Braidwood                         |            5
 Braitling                         |            1
 Bramston Beach                    |            1
 Brandon                           |            3
 Branxholm                         |            1
 Branxholme                        |            1
 Branxton                          |            2
 Branyan                           |            2
 Brassall                          |            5
 Brassi                            |            1
 Braunstone                        |            1
 Braybrook                         |            4
 Bray Park                         |            3
 Breakwater                        |            4
 Breamlea                          |            2
 Bredbo                            |            2
 Breddan                           |            2
 Bremer Bay                        |            9
 Brenanah                          |            2
 Brendale                          |            2
 Brentwood                         |            2
